name,position,image,link,alumni
Jorge Otero-Millan,Principal Investigator,jorge.webp,,0
Terence Tyson,PhD Student (Vision Science),terence.webp,,0
Reem Almagati,PhD Student (Vision Science),reem.jpg,,0
Evalie Rehor,PhD Student (Vision Science),evalie.webp,,0
Monica Thu Ngoc Do,Optometry Student Researcher,monica.webp,,0
Michelle Kelly Pham,Optometry Student Researcher,michelle.webp,,0
Mihret Girum,Optometry Student Researcher,,,1
Tiffany Lau,Optometry Student Researcher,,,1
Jeong-Yoon Choi,Visting Schollar,,,1
Raul Rodriguez,Postdoctoral Researcher,,,1
Roksana Sadeghi,Postdoctoral Researcher,,,1
Stephanie Reeves,PhD Student (Vision Science),,,1
Alisa Braun,PhD Student (Vision Science),,,1
Chris Bain,Undergraduate Researcher,,,1
Tiffany Lau,Optometry Student Researcher,,,1
Matt Anderson,Postdoctoral Researcher,,,1
Ariel Winnick,Staff Research Associate,,,1
Thelonious A Cooper,Undergraduate Researcher,,,1
Hector Rieiro,Staff Engineer,,,1
