Title,Abstract,Authors,Authors text,Broad Topic,Citation,Created,Doi,Editor,Files,First Author,Grant,Journal/Book,Last edited time,Link,Narrow topic,Nickname,Notes,PMID,Parent topics,Project Tasks,Publication date,Related articles,Senior Author,Start and Completion dates (estimate),Status,Team Members,Topics,Type,Year,🚀 Projects (old)
Highly informative natural scene regions increase microsaccade production during visual scanning.,"Classical image statistics, such as contrast, entropy, and the correlation between central and nearby pixel intensities, are thought to guide ocular fixation targeting. However, these statistics are not necessarily task relevant and therefore do not provide a complete picture of the relationship between informativeness and ocular targeting. Moreover, it is not known whether either informativeness or classical image statistics affect microsaccade production; thus, the role of microsaccades in information acquisition is also unknown. The objective quantification of the informativeness of a scene region is a major challenge, because it can vary with both image features and the task of the viewer. Thus, previous definitions of informativeness suffered from subjectivity and inconsistency across studies. Here we developed an objective measure of informativeness based on fixation consistency across human observers, which accounts for both bottom-up and top-down influences in ocular targeting. We then analyzed fixations in more versus less informative image regions in relation to classical statistics. Observers generated more microsaccades on more informative than less informative image regions, and such regions also exhibited low redundancy in their classical statistics. Increased microsaccade production was not explained by increased fixation duration, suggesting that the visual system specifically uses microsaccades to heighten information acquisition from informative regions.","McCamy, Michael B (https://www.notion.so/McCamy-Michael-B-34d643bcb56144cc85e9cb3165ba1192?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Di Stasi, Leandro L (https://www.notion.so/Di-Stasi-Leandro-L-fb897f8222fc4f3a821781f1682fb6a3?pvs=21), Macknik, Stephen L (https://www.notion.so/Macknik-Stephen-L-e2a97e48e3a945a597dcfecef69df7a3?pvs=21), Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)","McCamy, Otero-Millan, Di Stasi, Macknik, Martinez-Conde",Ocular motor control,"J Neurosci. 2014 Feb 19;34(8):2956-66. ","June 29, 2020 1:21 PM"," 10.1523/JNEUROSCI.4448-13.2014.",,,"McCamy, Michael B (https://www.notion.so/McCamy-Michael-B-34d643bcb56144cc85e9cb3165ba1192?pvs=21)",,J Neuroscience,"April 22, 2021 2:44 PM",https://www.jneurosci.org/content/34/8/2956,,,,24553936,,,"February 19, 2014",,"Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)",,Published🎉,,Ocular motor control (https://www.notion.so/Ocular-motor-control-e62515c7db9d4b699311e625070c2c7b?pvs=21),Research article,2014,
Magnetic Vestibular Stimulation (MVS) As a Technique for Understanding the Normal and Diseased Labyrinth.,"Humans often experience dizziness and vertigo around strong static magnetic fields such as those present in an MRI scanner. Recent evidence supports the idea that this effect is the result of inner ear vestibular stimulation and that the mechanism is a magnetohydrodynamic force (Lorentz force) that is generated by the interactions between normal ionic currents in the inner ear endolymph and the strong static magnetic field of MRI machines. While in the MRI, the Lorentz force displaces the cupula of the lateral and anterior semicircular canals, as if the head was rotating with a constant acceleration. If a human subject's eye movements are recorded when they are in darkness in an MRI machine (i.e., without fixation), there is a persistent nystagmus that diminishes but does not completely disappear over time. When the person exits the magnetic field, there is a transient aftereffect (nystagmus beating in the opposite direction) that reflects adaptation that occurred in the MRI. This magnetic vestibular stimulation (MVS) is a useful technique for exploring set-point adaptation, the process by which the brain adapts to a change in its environment, which in this case is vestibular imbalance. Here, we review the mechanism of MVS, how MVS produces a unique stimulus to the labyrinth that allows us to explore set-point adaptation, and how this technique might apply to the understanding and treatment of vestibular and other neurological disorders.","Ward, Bryan K (https://www.notion.so/Ward-Bryan-K-4f440f4f82b64b5faf9300fa9ab9bae5?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Jareonsettasin, Prem (https://www.notion.so/Jareonsettasin-Prem-d43bfa10bbba43b499617087799f7ec3?pvs=21), Schubert, Michael (https://www.notion.so/Schubert-Michael-be9dd5934032430296fbd811266b54c6?pvs=21), Roberts, Dale C (https://www.notion.so/Roberts-Dale-C-1095dbbb31614cf49f3a8924321165b6?pvs=21), Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21)","Ward, Otero-Millan, Jareonsettasin, Schubert, Roberts, Zee",Ocular motor control,"Front Neurol. 2017 Apr 5;8:122. ","June 29, 2020 1:21 PM"," 10.3389/fneur.2017.00122. eCollection 2017. Review.",,,"Ward, Bryan K (https://www.notion.so/Ward-Bryan-K-4f440f4f82b64b5faf9300fa9ab9bae5?pvs=21)",,Front Neurol,"April 22, 2021 2:55 PM",https://pubmed.ncbi.nlm.nih.gov/28424657/,,,,28424657,,,"April 5, 2017",,"Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21)",,Published🎉,,Ocular motor control (https://www.notion.so/Ocular-motor-control-e62515c7db9d4b699311e625070c2c7b?pvs=21),Review,2017,
Unsupervised clustering method to detect microsaccades.,"Abstract Microsaccades, small involuntary eye movements that occur once or twice per second during attempted visual fixation, are relevant to perception, cognition, and oculomotor control and present distinctive characteristics in visual and oculomotor pathologies. Thus, the development of robust and accurate microsaccade-detection techniques is important for basic and clinical neuroscience research. Due to the diminutive size of microsaccades, however, automatic and reliable detection can be difficult. Current challenges in microsaccade detection include reliance on set, arbitrary thresholds and lack of objective validation. Here we describe a novel microsaccade-detecting method, based on unsupervised clustering techniques, that does not require an arbitrary threshold and provides a detection reliability index. We validated the new clustering method using real and simulated eye-movement data. The clustering method reduced detection errors by 62% for binocular data and 78% for monocular data, when compared to standard contemporary microsaccade-detection techniques. Further, the clustering method's reliability index was correlated with the microsaccade-detection error rate, suggesting that the reliability index may be used to determine the comparative precision of eye-tracking devices.","Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Alba Castro, Jose Luis (https://www.notion.so/Alba-Castro-Jose-Luis-c5f46598a7204fffbc81fbad083a2dc8?pvs=21), Macknik, Stephen L (https://www.notion.so/Macknik-Stephen-L-e2a97e48e3a945a597dcfecef69df7a3?pvs=21), Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)","Otero-Millan, Alba Castro, Macknik, Martinez-Conde",Measuring eye movements,"J Vis. 2014 Feb 25;14(2). pii: 18. ","June 29, 2020 1:21 PM"," 10.1167/14.2.18.",,,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,JoV,"April 22, 2021 2:43 PM",https://jov.arvojournals.org/article.aspx?articleid=2121538,,,,24569984,,,"February 25, 2014",,"Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)",,Published🎉,,"Ocular motor control (https://www.notion.so/Ocular-motor-control-e62515c7db9d4b699311e625070c2c7b?pvs=21), Eye tracking (https://www.notion.so/Eye-tracking-4be05eee214f43779ec0b220e6990df3?pvs=21)",Research article,2014,
Spatial orientation: Model-based approach to multi-sensory mechanisms.,"Perception of spatial orientation is generated through multimodal sensory integration. In this process, there are systematic errors with changes in the head or body position, which reflect challenges for the brain in maintaining a common sensory reference frame for spatial orientation. Here, we focus on this multisensory aspect of spatial orientation. We review a Bayesian spatial perception model that can be used as a framework to study sensory contributions to spatial orientation during lateral head tilts and probe neural networks involved in this process.","Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)","Kheradmand, Otero-Millan",Vision while moving,"Prog Brain Res. 2019;248:209-223. ","June 29, 2020 1:21 PM"," 10.1016/bs.pbr.2019.04.029. Epub 2019 Jun 11.",,,"Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21)",,Prog Brain Res,"April 22, 2021 2:24 PM",https://www.sciencedirect.com/science/article/pii/S0079612319301050?via%3Dihub,,,,31239133,,,"June 11, 2019",,"Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21)",,Published🎉,,Vision while moving (https://www.notion.so/Vision-while-moving-e5fbfa2036ad40b3b8e4a7a1a95f4a08?pvs=21),Review,2019,
Abnormal Capillary Vasodynamics Contribute to Ictal Neurodegeneration in Epilepsy.,"Seizure-driven brain damage in epilepsy accumulates over time, especially in the hippocampus, which can lead to sclerosis, cognitive decline, and death. Excitotoxicity is the prevalent model to explain ictal neurodegeneration. Current labeling technologies cannot distinguish between excitotoxicity and hypoxia, however, because they share common molecular mechanisms. This leaves open the possibility that undetected ischemic hypoxia, due to ictal blood flow restriction, could contribute to neurodegeneration previously ascribed to excitotoxicity. We tested this possibility with Confocal Laser Endomicroscopy (CLE) and novel stereological analyses in several models of epileptic mice. We found a higher number and magnitude of NG2+ mural-cell mediated capillary constrictions in the hippocampus of epileptic mice than in that of normal mice, in addition to spatial coupling between capillary constrictions and oxidative stressed neurons and neurodegeneration. These results reveal a role for hypoxia driven by capillary blood flow restriction in ictal neurodegeneration.","Leal-Campanario, Rocio (https://www.notion.so/Leal-Campanario-Rocio-53bf212662f34fc0bd7f9bbd90b1ad13?pvs=21), Alarcon-Martinez, Luis (https://www.notion.so/Alarcon-Martinez-Luis-84db299266354caeb4ae9f4eefda5d14?pvs=21), Rieiro, Hector (https://www.notion.so/Rieiro-Hector-e89e6af39ca04eb8b787d075dc50553e?pvs=21), Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21), Alarcon-Martinez, Tugba (https://www.notion.so/Alarcon-Martinez-Tugba-a19fcad4af0c418c918a946c090a488a?pvs=21), Zhao, Xiaoli (https://www.notion.so/Zhao-Xiaoli-70bdd7c4b9e14be8936706666ac37d61?pvs=21), LaMee, J (https://www.notion.so/LaMee-J-d28c8d04dad543638a75fe9667691054?pvs=21), Popp, PJ (https://www.notion.so/Popp-PJ-162906cb4f254b608b7f3f6ea67836c1?pvs=21), Calhoun, ME (https://www.notion.so/Calhoun-ME-f84ab690950446a39b0b12bc48c5a24c?pvs=21), Arribas, Juan I (https://www.notion.so/Arribas-Juan-I-075377cdcec14f2fa330497d31b20b7f?pvs=21), Schlegel, Alex A (https://www.notion.so/Schlegel-Alex-A-d9659dee04424a37ba2d2d8922ddd788?pvs=21), Di Stasi, Leandro L (https://www.notion.so/Di-Stasi-Leandro-L-fb897f8222fc4f3a821781f1682fb6a3?pvs=21), Rho, JM (https://www.notion.so/Rho-JM-95346f06711c4df38a40a3179bddc1d5?pvs=21), Inge, L (https://www.notion.so/Inge-L-1e908bf8a68e4bbab7246ca969be906a?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Treiman, L (https://www.notion.so/Treiman-L-1058d349aa31497b9c0abae57e22c2dd?pvs=21), Macknik, Stephen L (https://www.notion.so/Macknik-Stephen-L-e2a97e48e3a945a597dcfecef69df7a3?pvs=21)","Leal-Campanario, Alarcon-Martinez, Rieiro, Martinez-Conde, Alarcon-Martinez, Zhao, LaMee, Popp, Calhoun, Arribas, Schlegel, Di Stasi, Rho, Inge, Otero-Millan, Treiman, Macknik",,"Sci Rep. 2017 Feb 27;7:43276. ","June 29, 2020 1:21 PM"," 10.1038/srep43276.",,,"Leal-Campanario, Rocio (https://www.notion.so/Leal-Campanario-Rocio-53bf212662f34fc0bd7f9bbd90b1ad13?pvs=21)",,Sci Rep,"April 22, 2021 2:37 PM",https://www.nature.com/articles/srep43276,,,,28240297,,,"February 27, 2017",,"Macknik, Stephen L (https://www.notion.so/Macknik-Stephen-L-e2a97e48e3a945a597dcfecef69df7a3?pvs=21)",,Published🎉,,,Research article,2017,
Distinctive features of saccadic intrusions and microsaccades in progressive supranuclear palsy.,"The eyes do not stay perfectly still during attempted fixation; fixational eye movements and saccadic intrusions (SIs) continuously change the position of gaze. The most common type of SI, square-wave jerks (SWJs), consists of saccade pairs that appear purely horizontal on clinical inspection: the first saccade moves the eye away from the fixation target, and after a short interval, the second saccade brings it back toward the target. SWJs are prevalent in certain neurological disorders, including progressive supranuclear palsy (PSP). Here, we developed an objective method to identify SWJs. We found that SWJs are more frequent, larger, and more markedly horizontal in PSP patients than in healthy human subjects. Furthermore, the loss of a vertical component in fixational saccades and SWJs was the eye movement feature that best distinguished PSP patients from controls. We moreover determined that, in PSP patients and controls, the larger the saccade the more likely it was part of a SWJ. Furthermore, saccades produced by PSP patients had equivalent properties whether they were part of a SWJ or not, suggesting that normal fixational saccades (microsaccades) are rare in PSP. We propose that fixational saccades and SIs are generated by the same neural circuit and that, both in PSP patients and in controls, SWJs result from a coupling mechanism that generates a second corrective saccade shortly after a large fixation saccade. Because of brainstem and/or cerebellum impairment, fixational saccades in PSP are abnormally large and thus more likely to trigger a corrective saccade, giving rise to SWJs.","Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Serra, Alessandro (https://www.notion.so/Serra-Alessandro-411c7502967e40ef84d37a5cca8d7ef7?pvs=21), Leigh, R John (https://www.notion.so/Leigh-R-John-2e3b39c6e4874202b9a333d0a549efca?pvs=21), Troncoso, Xoana G (https://www.notion.so/Troncoso-Xoana-G-86bb7654556e4d7984201d435d2de17f?pvs=21), Macknik, Stephen L (https://www.notion.so/Macknik-Stephen-L-e2a97e48e3a945a597dcfecef69df7a3?pvs=21), Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)","Otero-Millan, Serra, Leigh, Troncoso, Macknik, Martinez-Conde","Diagnosis, Ocular motor control","J Neurosci. 2011 Mar 23;31(12):4379-87. ","June 29, 2020 1:21 PM"," 10.1523/JNEUROSCI.2600-10.2011.",,,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,J Neuroscience,"April 22, 2021 2:52 PM",https://www.jneurosci.org/content/31/12/4379,,,,21430139,,,"March 23, 2011",,"Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)",,Published🎉,,Diagnosis (https://www.notion.so/Diagnosis-dd0da3ca4a8a4aa689a28fb2c70ec623?pvs=21),Research article,2011,
Pendular Oscillation and Ocular Bobbing After Pontine Hemorrhage,"The pathophysiology of acute, vertical spontaneous eye movements following pontine hemorrhage is not well understood. Here, we present and discuss the video-oculography findings of a patient with acute pontine hemorrhage who developed vertical pendular oscillation and ocular bobbing while comatose. The amplitudes, peak velocities, frequency distribution, and phase planes (velocity versus position) of the eye movements were analyzed. The vertical pendular oscillation was rhythmic with a peak frequency of 1.7 Hz, but amplitudes (mean 1.9°, range 0.2-8.2°) and peak velocities (mean 20.6°/s; range 5.9-60.6°/sec) fluctuated. Overall, their peak velocities were asymmetric, faster with downward than upward. Higher peak velocities were seen with larger amplitudes (downward phase r = 0.95, p < 0.001; upward phase r = 0.91, p < 0.001) and with movements beginning at eye positions lower in the orbit (downward phase r = - 0.64, p < 0.001; upward phase r = - 0.86, p < 0.001). Interspersed were typical ocular bobbing waveforms with a fast (peak velocity 128.8°/s), large-amplitude (17.5°) downward movement, sometimes followed by a flat interphase interval (0.5 s) when the eye was nearly stationary, and then a slow return to mid-position with a decaying velocity waveform. To account for the presence and co-existence of pendular oscillations and bobbing, we present and discuss three hypothetical models, not necessarily mutually exclusive: (1) oscillations originating in the inferior olives due to disruption of the central tegmental tract(s); (2) unstable neural integrator function due to pontine cell group damage involving neurons involved in gaze-holding; (3) low-frequency saccadic intrusions following omnipause neuron damage.","Chang, Tzu Pu (https://www.notion.so/Chang-Tzu-Pu-42eea05a5f994ef7889ff462bcd175b5?pvs=21), Gold, Dan R (https://www.notion.so/Gold-Dan-R-3f7a72785d88433d8d3eb94a7055e782?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Huang, Bor-Ren (https://www.notion.so/Huang-Bor-Ren-e3b75491a1ed4297803e9a287dc865d6?pvs=21), Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21)","Chang, Gold, Otero-Millan, Huang, Zee",Diagnosis,Cerebellum. 2019 Dec 27.,"June 29, 2020 1:21 PM",10.1007/s12311-019-01086-6.,,,"Chang, Tzu Pu (https://www.notion.so/Chang-Tzu-Pu-42eea05a5f994ef7889ff462bcd175b5?pvs=21)",,Cerebellum,"April 22, 2021 2:22 PM",https://link.springer.com/article/10.1007%2Fs12311-019-01086-6,,,,31883062,,,"December 27, 2019",,"Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21)",,Published🎉,,Diagnosis (https://www.notion.so/Diagnosis-dd0da3ca4a8a4aa689a28fb2c70ec623?pvs=21),Research article,2019,
Visual Fixation and Continuous Head Rotations Have Minimal Effect on Set-Point Adaptation to Magnetic Vestibular Stimulation.,"Background: Strong static magnetic fields such as those in an MRI machine can induce sensations of self-motion and nystagmus. The proposed mechanism is a Lorentz force resulting from the interaction between strong static magnetic fields and ionic currents in the inner ear endolymph that causes displacement of the semicircular canal cupulae. Nystagmus persists throughout an individual's exposure to the magnetic field, though its slow-phase velocity partially declines due to adaptation. After leaving the magnetic field an after effect occurs in which the nystagmus and sensations of rotation reverse direction, reflecting the adaptation that occurred while inside the MRI. However, the effects of visual fixation and of head shaking on this early type of vestibular adaptation are unknown., Methods: Three-dimensional infrared video-oculography was performed in six individuals just before, during (5, 20, or 60 min) and after (4, 15, or 20 min) lying supine inside a 7T MRI scanner. Trials began by entering the magnetic field in darkness followed 60 s later, either by light with visual fixation and head still, or by continuous yaw head rotations (2 Hz) in either darkness or light with visual fixation. Subjects were always placed in darkness 10 or 30 s before exiting the bore. In control conditions subjects remained in the dark with the head still for the entire duration., Results: In darkness with head still all subjects developed horizontal nystagmus inside the magnetic field, with slow-phase velocity partially decreasing over time. An after effect followed on exiting the magnet, with nystagmus in the opposite direction. Nystagmus was suppressed during visual fixation; however, after resuming darkness just before exiting the magnet, nystagmus returned with velocity close to the control condition and with a comparable after effect. Similar after effects occurred with continuous yaw head rotations while in the scanner whether in darkness or light., Conclusions: Visual fixation and sustained head shaking either in the dark or with fixation inside a strong static magnetic field have minimal impact on the short-term mechanisms that attempt to null unwanted spontaneous nystagmus when the head is still, so called VOR set-point adaptation. This contrasts with the critical influence of vision and slippage of images on the retina on the dynamic (gain and direction) components of VOR adaptation.","Ward, Bryan K (https://www.notion.so/Ward-Bryan-K-4f440f4f82b64b5faf9300fa9ab9bae5?pvs=21), Zee, David S (https://www.notion.so/Zee-David-S-a54d8115dd39404fa3fbe60216ee1f7c?pvs=21), Roberts, Dale C (https://www.notion.so/Roberts-Dale-C-1095dbbb31614cf49f3a8924321165b6?pvs=21), Schubert, Michael (https://www.notion.so/Schubert-Michael-be9dd5934032430296fbd811266b54c6?pvs=21), Perez-Fernandez, Nicolas (https://www.notion.so/Perez-Fernandez-Nicolas-1e97554a549342528425d10ce3715019?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)","Ward, Zee, Roberts, Schubert, Perez-Fernandez, Otero-Millan",Vision while moving,"Front Neurol. 2019 Jan 22;9:1197. ","June 29, 2020 1:21 PM"," 10.3389/fneur.2018.01197. eCollection 2018.",,,"Ward, Bryan K (https://www.notion.so/Ward-Bryan-K-4f440f4f82b64b5faf9300fa9ab9bae5?pvs=21)",,Front Neurol,"April 22, 2021 2:27 PM",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6349782/,,,,30723456,,,"January 22, 2019",,"Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21)",,Published🎉,,Vision while moving (https://www.notion.so/Vision-while-moving-e5fbfa2036ad40b3b8e4a7a1a95f4a08?pvs=21),Research article,2019,
"Visual perception of upright: Head tilt, visual errors and viewing eye.","BACKGROUND: Perception of upright is often assessed by aligning a luminous line to the subjective visual vertical (SVV).
OBJECTIVE: Here we investigated the effects of visual line rotation and viewing eye on SVV responses and whether there was any change with head tilt.
METHODS: SVV was measured using a forced-choice paradigm and by combining the following conditions in 22 healthy subjects: head position (20° left tilt, upright and 20° right tilt), viewing eye (left eye, both eyes and right eye) and direction of visual line rotation (clockwise [CW] and counter clockwise [CCW]).
RESULTS: The accuracy and precision of SVV responses were not different between the viewing eye conditions in all head positions (P> 0.05, Kruskal-Wallis test). The accuracy of SVV responses was significantly different between the CW and CCW line rotations (p = 0.0001; Kruskal-Wallis test) and SVV was tilted in the same direction as the line rotation. This effect of line rotation was however not consistent across head tilts and was only present in the upright and right tilt head positions. The accuracy of SVV responses showed a higher variability among subjects in the left head tilt position with no significant difference between the CW and CCW line rotations (P> 0.05; post-hoc Dunn's test).
CONCLUSIONS: In spite of the challenges to the estimate of upright with head tilt, normal subjects did remarkably well irrespective of the viewing eye. The physiological significance of the asymmetry in the effect of line rotation between the head tilt positions is unclear but it may suggest suggests a lateralizing effect of head tilt on the visual perception of upright.","Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21), Gonzalez, G (https://www.notion.so/Gonzalez-G-22608f9506794d30aae33688bf867fb1?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Lasker, Adrian (https://www.notion.so/Lasker-Adrian-0c993fd939f449c58ed266d12473dacf?pvs=21)","Kheradmand, Gonzalez, Otero-Millan, Lasker",Vision while moving,"J Vestib Res. 2016;25(5-6):201-9. ","June 29, 2020 1:21 PM"," 10.3233/VES-160565.",,,"Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21)",,J Vestib Res,"April 22, 2021 8:43 PM",https://pubmed.ncbi.nlm.nih.gov/26890421/,,,,26890421,,,"January 28, 2016",,"Kheradmand, Amir (https://www.notion.so/Kheradmand-Amir-0a192265047548b884afb499984b990d?pvs=21)",,Published🎉,,Vision while moving (https://www.notion.so/Vision-while-moving-e5fbfa2036ad40b3b8e4a7a1a95f4a08?pvs=21),Research article,2016,
Microsaccades restore the visibility of minute foveal targets.,"Stationary targets can fade perceptually during steady visual fixation, a phenomenon known as Troxler fading. Recent research found that microsaccades—small, involuntary saccades produced during attempted fixation—can restore the visibility of faded targets, both in the visual periphery and in the fovea. Because the targets tested previously extended beyond the foveal area, however, the ability of microsaccades to restore the visibility of foveally-contained targets remains unclear. Here, subjects reported the visibility of low-to-moderate contrast targets contained entirely within the fovea during attempted fixation. The targets did not change physically, but their visibility varied intermittently during fixation, in an illusory fashion (i.e., foveal Troxler fading). Microsaccade rates increased significantly before the targets became visible, and decreased significantly before the targets faded, for a variety of target contrasts. These results support previous research linking microsaccade onsets to the visual restoration of peripheral and foveal targets, and extend the former conclusions to minute targets contained entirely within the fovea. Our findings suggest that the involuntary eye movements produced during attempted fixation do not always prevent fading—in either the fovea or the periphery—and that microsaccades can restore perception, when fading does occur. Therefore, microsaccades are relevant to human perception of foveal stimuli.","Costela, Francisco M (https://www.notion.so/Costela-Francisco-M-333d3e8a16544a169f1bd5c6826b7534?pvs=21), McCamy, Michael B (https://www.notion.so/McCamy-Michael-B-34d643bcb56144cc85e9cb3165ba1192?pvs=21), Macknik, Stephen L (https://www.notion.so/Macknik-Stephen-L-e2a97e48e3a945a597dcfecef69df7a3?pvs=21), Otero-Millan, Jorge (https://www.notion.so/Otero-Millan-Jorge-daeb57d4207e4ebab00ca05473e1cbdb?pvs=21), Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)","Costela, McCamy, Macknik, Otero-Millan, Martinez-Conde","Ocular motor control, Vision while moving","PeerJ. 2013 Aug 1;1:e119. ","June 29, 2020 1:21 PM"," 10.7717/peerj.119. Print 2013.",,,"Costela, Francisco M (https://www.notion.so/Costela-Francisco-M-333d3e8a16544a169f1bd5c6826b7534?pvs=21)",,PeerJ,"April 22, 2021 2:49 PM",https://peerj.com/articles/119,,,,23940832,,,"August 1, 2013",,"Martinez-Conde, Susana (https://www.notion.so/Martinez-Conde-Susana-204c815dd8e54cbb898598d9660ecae5?pvs=21)",,Published🎉,,Vision while moving (https://www.notion.so/Vision-while-moving-e5fbfa2036ad40b3b8e4a7a1a95f4a08?pvs=21),Research article,2013,
