FromConvergenceNoFlashing,FromConvergenceFlashing,FromConvergenceNoTarget,FromDivergenceNoFlashing,FromDivergenceFlashing,FromDivergenceNoTarget,Time
NaN,NaN,NaN,0.855889631848451,NaN,NaN,-4.995
NaN,NaN,NaN,0.832498061742058,NaN,NaN,-4.99
NaN,NaN,NaN,0.810180307187025,NaN,NaN,-4.985
NaN,NaN,NaN,0.785564337016394,NaN,NaN,-4.98
NaN,NaN,NaN,0.815802106365264,NaN,NaN,-4.975
NaN,NaN,NaN,0.772462304181434,NaN,NaN,-4.97
NaN,NaN,NaN,0.751827985368373,NaN,NaN,-4.965
NaN,NaN,NaN,0.734897776065224,NaN,NaN,-4.96
NaN,NaN,NaN,0.770546005772176,NaN,NaN,-4.955
NaN,NaN,NaN,0.813481501551255,NaN,NaN,-4.95
NaN,NaN,NaN,0.889837892859787,NaN,NaN,-4.945
NaN,NaN,NaN,0.883345399069205,NaN,NaN,-4.94
NaN,NaN,NaN,0.86710894490836,NaN,NaN,-4.935
NaN,NaN,NaN,0.873018537351835,NaN,NaN,-4.93
NaN,NaN,NaN,0.840579462325861,NaN,NaN,-4.925
NaN,NaN,NaN,0.821917485793614,NaN,NaN,-4.92
NaN,NaN,NaN,0.813897278236627,NaN,NaN,-4.915
NaN,NaN,NaN,0.787367073341162,NaN,NaN,-4.91
NaN,NaN,NaN,0.757409957908856,NaN,NaN,-4.905
NaN,NaN,NaN,0.724248682626057,NaN,NaN,-4.9
NaN,NaN,NaN,0.698977031853571,NaN,NaN,-4.895
NaN,NaN,NaN,0.669353517357009,NaN,NaN,-4.89
NaN,NaN,NaN,0.627619166793641,NaN,NaN,-4.885
NaN,NaN,NaN,0.591908899448642,NaN,NaN,-4.88
NaN,NaN,NaN,0.557304099918919,NaN,NaN,-4.875
NaN,NaN,NaN,0.538997010475054,NaN,NaN,-4.87
NaN,NaN,NaN,0.514198463054295,NaN,NaN,-4.865
NaN,NaN,NaN,0.472694876533919,NaN,NaN,-4.86
NaN,NaN,NaN,0.437051989859126,NaN,NaN,-4.855
NaN,NaN,NaN,0.401856554388383,NaN,NaN,-4.85
NaN,NaN,NaN,0.384822255668058,NaN,NaN,-4.845
NaN,NaN,NaN,0.358023000881348,NaN,NaN,-4.84
NaN,0.56325110265439,NaN,0.332144836230789,NaN,NaN,-4.835
NaN,0.582062383229874,NaN,0.310748067724634,NaN,NaN,-4.83
NaN,0.602888437779571,NaN,0.28595410972493,NaN,NaN,-4.825
NaN,0.619503208786569,NaN,0.25245495559379,NaN,NaN,-4.82
NaN,0.650541853108117,NaN,0.222666603694902,NaN,NaN,-4.815
NaN,0.698118878792882,NaN,0.21545931646331,NaN,NaN,-4.81
NaN,0.729876699816142,NaN,0.168665847804713,NaN,NaN,-4.805
NaN,0.753356758576794,NaN,0.0931659013971869,NaN,NaN,-4.8
NaN,0.77145329422801,NaN,0.0115700793105839,NaN,NaN,-4.795
NaN,0.788585706600618,NaN,-0.0132512945137496,NaN,NaN,-4.79
NaN,0.807514464116163,NaN,-0.0504336460749848,NaN,NaN,-4.785
NaN,0.8342818077359,NaN,-0.0823878522624659,NaN,NaN,-4.78
NaN,0.861857464518089,NaN,-0.113963592096679,NaN,NaN,-4.775
NaN,0.894748187981061,NaN,-0.133329408912006,NaN,NaN,-4.77
NaN,0.926164235919498,NaN,-0.170451062629949,NaN,NaN,-4.765
NaN,0.944052713100088,NaN,-0.201406630133094,NaN,NaN,-4.76
NaN,0.992589589798643,NaN,-0.208089040892654,NaN,NaN,-4.755
NaN,1.01321359729221,NaN,-0.230834089300483,NaN,NaN,-4.75
NaN,1.0339246314776,NaN,-0.257937356337596,NaN,NaN,-4.745
NaN,1.0599558065122,NaN,-0.27531663074919,NaN,NaN,-4.74
NaN,1.08684599010465,NaN,-0.30660016912808,NaN,NaN,-4.735
NaN,1.11847486617561,NaN,-0.312581851048729,NaN,NaN,-4.73
NaN,1.13954430403506,NaN,-0.34489603540686,NaN,NaN,-4.725
NaN,1.16466416861529,NaN,-0.379707949749041,NaN,NaN,-4.72
NaN,1.20410973486893,NaN,-0.409099613639198,NaN,NaN,-4.715
NaN,1.2315142726068,NaN,-0.447819646103921,NaN,NaN,-4.71
NaN,1.25459703528467,NaN,-0.49672887858666,NaN,NaN,-4.705
NaN,1.2712567051164,NaN,-0.525243009523486,NaN,NaN,-4.7
NaN,1.28894160062357,NaN,-0.518497999648178,NaN,NaN,-4.695
NaN,1.30614605284241,NaN,-0.540615338079399,NaN,-0.662226979502471,-4.69
NaN,1.3215627957789,NaN,-0.559669418513637,NaN,-0.671766400627943,-4.685
NaN,1.34761332896518,NaN,-0.582936251365103,NaN,-0.714411687503618,-4.68
NaN,1.37675998509789,NaN,-0.61258236789389,NaN,-0.750857209703809,-4.675
NaN,1.38748516743652,NaN,-0.639286860264595,NaN,-0.761740610265099,-4.67
NaN,1.40219805172358,NaN,-0.627582988095003,NaN,-0.770867957434993,-4.665
NaN,1.40970540242001,NaN,-0.642980150628067,NaN,-0.778832998467224,-4.66
NaN,1.42245316036465,NaN,-0.638726713994999,NaN,-0.789386811014431,-4.655
NaN,1.43321506912453,NaN,-0.650126637613003,NaN,-0.811361362077649,-4.65
NaN,1.44377292475359,NaN,-0.657820344920385,NaN,-0.832298936666415,-4.645
NaN,1.48751328481016,NaN,-0.675070734288169,NaN,-0.838987161274342,-4.64
NaN,1.48098800747204,NaN,-0.695020221297814,NaN,-0.835502477760301,-4.635
NaN,1.48258145323542,NaN,-0.724074531776954,NaN,-0.829664743680086,-4.63
NaN,1.49184889501684,NaN,-0.748067610883101,NaN,-0.824813752118771,-4.625
NaN,1.49738727394494,NaN,-0.770735897137703,NaN,-0.826894686524708,-4.62
NaN,1.5017514420879,NaN,-0.789101348807684,NaN,-0.817202264406779,-4.615
NaN,1.50554193533863,NaN,-0.808433288059741,NaN,-0.802916534500791,-4.61
NaN,1.50895470899637,NaN,-0.820083297005959,NaN,-0.803253747871754,-4.605
NaN,1.51265492310245,NaN,-0.793854715290017,NaN,-0.820916580399278,-4.6
NaN,1.51866854974,NaN,-0.808752725113118,NaN,-0.80710346910589,-4.595
NaN,1.52045248526814,NaN,-0.815750732313226,NaN,-0.790541775614507,-4.59
