Time, RightEyeX, RightEyeY, RightEyeZ, LeftEyeX, LeftEyeY, LeftEyeZ, HeadX, HeadY, HeadZ, RightEye00, RightEye01, RightEye02, RightEye03, RightEye10, RightEye11, RightEye12, RightEye13, RightEye20, RightEye21, RightEye22, RightEye23, RightEye30, RightEye31, RightEye32, RightEye33, LeftEye00, LeftEye01, LeftEye02, LeftEye03, LeftEye10, LeftEye11, LeftEye12, LeftEye13, LeftEye20, LeftEye21, LeftEye22, LeftEye23, LeftEye30, LeftEye31, LeftEye32, LeftEye33, Head00, Head01, Head02, Head03, Head10, Head11, Head12, Head13, Head20, Head21, Head22, Head23, Head30, Head31, Head32, Head33, Camera00, Camera01, Camera02, Camera03, Camera10, Camera11, Camera12, Camera13, Camera20, Camera21, Camera22, Camera23, Camera30, Camera31, Camera32, Camera33, eyeBlinkLeft, eyeLookDownLeft, eyeLookInLeft, eyeLookOutLeft, eyeLookUpLeft, eyeSquintLeft, eyeWideLeft, eyeBlinkRight, eyeLookDownRight, eyeLookInRight, eyeLookOutRight, eyeLookUpRight, eyeSquintRight, eyeWideRight, lookAtPoint0, lookAtPoint1, lookAtPoint2
224313.217479916, -0.5619376, -10.963238, 0.1068721, -4.591845, -10.894271, 0.869642, 2.0598733, -4.962049, 0.4272592,  0.9999537, -0.0018312266, 0.0094527695, 0.0, 0.0, 0.98174775, 0.19018792, 0.0, -0.009628512, -0.19017911, 0.98170227, 0.0, -0.03097014, 0.03323218, 0.02527921, 1.0, 0.9969051, -0.014903997, 0.07718851, 0.0, 0.0, 0.98186445, 0.18958399, 0.0, -0.07861422, -0.18899724, 0.9788257, 0.0, 0.030954594, 0.033211976, 0.025163488, 1.0, 0.999303, -0.0074290656, -0.03658732, 0.0, 0.010560919, 0.9962249, 0.08616973, 0.0, 0.03580912, -0.08649587, 0.9956085, 0.0, 0.02604268, 0.09202624, -0.38416842, 1.0, 0.99908835, 0.040943712, 0.01209512, 0.0, -0.04247385, 0.9819052, 0.18454932, 0.0, -0.0043200254, -0.18489468, 0.9827489, 0.0, 0.0, 0.0, 0.0, 1.0, 3.035346e-07, 0.31224304, 0.12882614, 0.0, 0.0, 0.051079445, 0.2590054, 2.6727255e-08, 0.31324998, 0.0, 0.015762331, 0.0, 0.05103919, 0.259012, -0.039581846, -0.14003375, 0.9196345
224313.234172916, -0.5876832, -11.061068, 0.11275386, -4.618744, -10.9908495, 0.88241637, 2.258055, -5.020696, 0.46260297,  0.9999493, -0.0019313671, 0.0098792715, 0.0, 0.0, 0.98142135, 0.19186485, 0.0, -0.0100662885, -0.19185513, 0.98137164, 0.0, -0.03097014, 0.03323218, 0.02527921, 1.0, 0.9968708, -0.0151179815, 0.07758886, 0.0, 0.0, 0.9815413, 0.19125068, 0.0, -0.079047985, -0.1906522, 0.9784698, 0.0, 0.030954594, 0.033211976, 0.025163488, 1.0, 0.99916327, -0.008042881, -0.040104933, 0.0, 0.01151545, 0.99613094, 0.0871268, 0.0, 0.039249122, -0.08751557, 0.9953898, 0.0, 0.025234317, 0.09283737, -0.38435295, 1.0, 0.9990406, 0.042422652, 0.010879398, 0.0, -0.04371197, 0.98122156, 0.18786646, 0.0, -0.0027051794, -0.18816164, 0.98213446, 0.0, 0.0, 0.0, 0.0, 1.0, 2.7934533e-07, 0.3150223, 0.12953846, 0.0, 0.0, 0.05087855, 0.24059567, 2.4597307e-08, 0.3160467, 0.0, 0.016479015, 0.0, 0.05084003, 0.24063036, -0.039973427, -0.14162025, 0.91963387
224313.250865916, -0.5755861, -11.064491, 0.11046649, -4.6060395, -10.994588, 0.88027453, 2.4143124, -5.062551, 0.5420753,  0.99995136, -0.0018921645, 0.009675693, 0.0, 0.0, 0.98140997, 0.19192311, 0.0, -0.009858971, -0.19191378, 0.9813622, 0.0, -0.03097014, 0.03323218, 0.02527921, 1.0, 0.9968881, -0.015081098, 0.07737398, 0.0, 0.0, 0.98152936, 0.1913116, 0.0, -0.078830026, -0.19071625, 0.9784749, 0.0, 0.030954594, 0.033211976, 0.025163488, 1.0, 0.99903256, -0.009423949, -0.04295734, 0.0, 0.013169415, 0.99605435, 0.08776255, 0.0, 0.0419609, -0.08824325, 0.9952148, 0.0, 0.02501218, 0.092806675, -0.38499817, 1.0, 0.99899906, 0.043628484, 0.009880638, 0.0, -0.044710312, 0.98092747, 0.1891628, 0.0, -0.0014391687, -0.18941507, 0.98189616, 0.0, 0.0, 0.0, 0.0, 1.0, 2.5708374e-07, 0.3151239, 0.12918052, 0.0, 0.0, 0.05080491, 0.23087212, 2.2637098e-08, 0.31614387, 0.0, 0.016139617, 0.0, 0.05076854, 0.23092665, -0.039789602, -0.14170706, 0.9197977
224313.267558958, -0.5947208, -11.087015, 0.114368506, -4.6258693, -11.016465, 0.8858175, 2.5225713, -5.074404, 0.6204098,  0.9999481, -0.0019588508, 0.009995799, 0.0, 0.0, 0.98133427, 0.19230954, 0.0, -0.010185925, -0.19229957, 0.98128337, 0.0, -0.03097014, 0.03323218, 0.02527921, 1.0, 0.99686164, -0.015174925, 0.0776947, 0.0, 0.0, 0.9814549, 0.19169267, 0.0, -0.07916278, -0.19109108, 0.9783748, 0.0, 0.030954594, 0.033211976, 0.025163488, 1.0, 0.9989303, -0.010785542, -0.044967156, 0.0, 0.014710147, 0.99602216, 0.08788188, 0.0, 0.043840446, -0.088449314, 0.9951154, 0.0, 0.024842398, 0.09222467, -0.3853864, 1.0, 0.99892, 0.045698225, 0.008404602, 0.0, -0.046463437, 0.9810744, 0.18797399, 0.0, 0.0003445489, -0.18816143, 0.9821381, 0.0, 0.0, 0.0, 0.0, 1.0, 2.3659624e-07, 0.31575948, 0.12972696, 0.0, 0.0, 0.05074801, 0.22856905, 2.0833102e-08, 0.3167885, 0.0, 0.016674872, 0.0, 0.050713707, 0.22865112, -0.04008093, -0.14205077, 0.9196822
224313.284251875, -0.59541917, -10.998387, 0.11359882, -4.623036, -10.92843, 0.87828547, 2.6334746, -5.0813136, 0.6682392,  0.999948, -0.0019462556, 0.010013582, 0.0, 0.0, 0.9816307, 0.19079128, 0.0, -0.010200967, -0.19078137, 0.98157966, 0.0, -0.03097014, 0.03323218, 0.02527921, 1.0, 0.99686366, -0.015050389, 0.077693656, 0.0, 0.0, 0.9817494, 0.19017911, 0.0, -0.07913797, -0.18958265, 0.9786703, 0.0, 0.030954594, 0.033211976, 0.025163488, 1.0, 0.9988284, -0.0116168745, -0.046975408, 0.0, 0.015719585, 0.9960023, 0.08793403, 0.0, 0.045766044, -0.08856944, 0.995018, 0.0, 0.024817776, 0.091794424, -0.3858117, 1.0, 0.9988854, 0.046736628, 0.0066026705, 0.0, -0.047147714, 0.9813271, 0.18647832, 0.0, 0.0022359595, -0.18658179, 0.9824369, 0.0, 0.0, 0.0, 0.0, 1.0, 2.1774142e-07, 0.3132353, 0.12968622, 0.0, 0.0, 0.050741237, 0.22740157, 1.9172871e-08, 0.31425613, 0.0, 0.016699497, 0.0, 0.05070861, 0.2274907, -0.040099677, -0.14071521, 0.92020077
224313.300945041, -0.5384018, -10.999244, 0.10272783, -4.5644484, -10.930799, 0.8672948, 2.6852615, -5.174387, 0.77369547,  0.9999575, -0.0017600012, 0.009054661, 0.0, 0.0, 0.9816282, 0.19080412, 0.0, -0.009224125, -0.19079602, 0.98158646, 0.0, -0.03097014, 0.03323218, 0.02527921, 1.0, 0.9969427, -0.014861947, 0.07671014, 0.0, 0.0, 0.9817444, 0.19020475, 0.0, -0.07813657, -0.18962324, 0.9787429, 0.0, 0.030954594, 0.033211976, 0.025163488, 1.0, 0.9987537, -0.013448096, -0.04806167, 0.0, 0.01771308, 0.9958341, 0.08944762, 0.0, 0.046658568, -0.09018737, 0.99483114, 0.0, 0.025184978, 0.092062354, -0.38612902, 1.0, 0.9988748, 0.04713747, 0.0052283243, 0.0, -0.047284294, 0.98127496, 0.18671858, 0.0, 0.0036710468, -0.18675563, 0.9823995, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0038918e-07, 0.31327808, 0.12804182, 0.0, 0.0, 0.05080214, 0.229992, 1.7644949e-08, 0.31427756, 0.0, 0.015100311, 0.0, 0.050771296, 0.23008512, -0.039229404, -0.14081101, 0.92063946
224313.317637958, -0.50670105, -11.074546, 0.09733264, -4.5297017, -11.006596, 0.86655986, 2.8240948, -5.151237, 0.79434335,  0.9999623, -0.0016671395, 0.008517174, 0.0, 0.0, 0.9813766, 0.19209324, 0.0, -0.008678802, -0.192086, 0.98133963, 0.0, -0.03097014, 0.03323218, 0.02527921, 1.0, 0.9969905, -0.014845548, 0.07608841, 0.0, 0.0, 0.98149294, 0.19149828, 0.0, -0.077523135, -0.19092199, 0.9785392, 0.0, 0.030954594, 0.033211976, 0.025163488, 1.0, 0.99862826, -0.013807473, -0.05050826, 0.0, 0.018269807, 0.99586564, 0.08898438, 0.0, 0.0490708, -0.08978497, 0.9947515, 0.0, 0.024966933, 0.09235793, -0.3863074, 1.0, 0.9988388, 0.04814875, 0.0016940157, 0.0, -0.047609612, 0.98104423, 0.18784475, 0.0, 0.007382589, -0.18770725, 0.98219734, 0.0, 0.0, 0.0, 0.0, 1.0, 1.8441976e-07, 0.3154353, 0.12703456, 0.0, 0.0, 0.050562363, 0.23215349, 1.6238788e-08, 0.31642765, 0.0, 0.014207572, 0.0, 0.050533593, 0.23227113, -0.038749382, -0.14221805, 0.92159534
224313.334331125, -0.59705955, -11.139325, 0.115353204, -4.618948, -11.068701, 0.8886274, 3.1062713, -5.118534, 0.6748853,  0.9999478, -0.0019753617, 0.010031507, 0.0, 0.0, 0.98115826, 0.19320552, 0.0, -0.010224148, -0.19319543, 0.98110706, 0.0, -0.03097014, 0.03323218, 0.02527921, 1.0, 0.9968722, -0.0152203515, 0.07755106, 0.0, 0.0, 0.9812797, 0.19258824, 0.0, -0.079030536, -0.19198586, 0.9782104, 0.0, 0.030954594, 0.033211976, 0.025163488, 1.0, 0.9984046, -0.011731728, -0.055233546, 0.0, 0.016595399, 0.9959433, 0.08844108, 0.0, 0.053972024, -0.08921649, 0.9945491, 0.0, 0.024695579, 0.0923396, -0.38664544, 1.0, 0.9987441, 0.050040245, -0.0025459924, 0.0, -0.0486712, 0.9809785, 0.18791685, 0.0, 0.01190109, -0.18755674, 0.98218185, 0.0, 0.0, 0.0, 0.0, 1.0, 1.6972298e-07, 0.31725338, 0.12950979, 0.0, 0.0, 0.050430574, 0.231304, 1.4944687e-08, 0.31828326, 0.0, 0.016737448, 0.0, 0.050403908, 0.231464, -0.040137872, -0.14333719, 0.9219069
224313.351024041, -0.7091543, -11.340898, 0.13945922, -4.735199, -11.26603, 0.9271218, 3.2530088, -5.1359277, 0.56781113,  0.9999263, -0.0023864948, 0.011898119, 0.0, 0.0, 0.9804716, 0.19666053, 0.0, -0.012135098, -0.19664605, 0.98039937, 0.0, -0.03097014, 0.03323218, 0.02527921, 1.0, 0.99671733, -0.015868831, 0.079389624, 0.0, 0.0, 0.98060226, 0.19600815, 0.0, -0.080960065, -0.19536471, 0.97738326, 0.0, 0.030954594, 0.033211976, 0.025163488, 1.0, 0.9982895, -0.009870225, -0.057628017, 0.0, 0.014973414, 0.99593633, 0.08880806, 0.0, 0.056517396, -0.08951885, 0.99438035, 0.0, 0.02562191, 0.092441946, -0.38730896, 1.0, 0.99867606, 0.051235437, -0.0046225684, 0.0, -0.049470738, 0.9811369, 0.18687792, 0.0, 0.014110239, -0.18640164, 0.9823724, 0.0, 0.0, 0.0, 0.0, 1.0, 1.5619742e-07, 0.32296062, 0.13267863, 0.0, 0.0, 0.05009428, 0.22534186, 1.3753716e-08, 0.32404977, 0.0, 0.019865911, 0.0, 0.05006962, 0.22560295, -0.041845754, -0.14652765, 0.92142475
224313.367717083, -1.0331981, -11.451052, 0.20514289, -5.063042, -11.366747, 1.0003706, 3.4681842, -5.073862, 0.35454538,  0.99984384, -0.0035091417, 0.01732091, 0.0, 0.0, 0.9800884, 0.1985617, 0.0, -0.017672803, -0.19853069, 0.97993535, 0.0, -0.03097014, 0.03323218, 0.02527921, 1.0, 0.99625003, -0.01711643, 0.08481082, 0.0, 0.0, 0.9802363, 0.19783023, 0.0, -0.0865208, -0.19708838, 0.9765604, 0.0, 0.030954594, 0.033211976, 0.025163488, 1.0, 0.99811643, -0.006163697, -0.061039254, 0.0, 0.011526521, 0.9960625, 0.08790206, 0.0, 0.06025723, -0.0884399, 0.99425733, 0.0, 0.025998242, 0.091902405, -0.38770658, 1.0, 0.9985391, 0.053445876, -0.007969027, 0.0, -0.051065106, 0.98153955, 0.18431717, 0.0, 0.017673003, -0.18364078, 0.98283464, 0.0, 0.0, 0.0, 0.0, 1.0, 1.4374973e-07, 0.326003, 0.14181377, 0.0, 0.0, 0.04993377, 0.21825135, 1.2657656e-08, 0.32722464, 0.0, 0.028932273, 0.0, 0.049910914, 0.2185599, -0.046791486, -0.14813901, 0.9203765
